drug_name,base_drug_name,drug_class,drug_sub_class,therapeutic_category,dosages,route_of_administration,formulation,search_text,source_files
Stannous Fluoride,stannous fluoride,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,STOMATOLOGICAL PREPARATIONS,[],,,Drug: stannous fluoride | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Caries prophylactic agents | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Olaflur,olaflur,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,STOMATOLOGICAL PREPARATIONS,[],,,Drug: olaflur | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Caries prophylactic agents | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Sodium Fluoride,sodium fluoride,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents,STOMATOLOGICAL PREPARATIONS,[],oral,solution,Drug: sodium fluoride | Dosages: [] | Form: solution | Route: oral | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Caries prophylactic agents | Therapeutic: STOMATOLOGICAL PREPARATIONS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Tetracycline,tetracycline,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: tetracycline | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Oxyquinoline,oxyquinoline,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: oxyquinoline | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Octenidine,octenidine,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: octenidine | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Chlorhexidine,chlorhexidine,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: chlorhexidine | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Domiphen,domiphen,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: domiphen | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Tibezonium Iodide,tibezonium iodide,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: tibezonium iodide | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Chlortetracycline,chlortetracycline,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: chlortetracycline | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Clotrimazole,clotrimazole,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,['10 mg'],vaginal,cream,Drug: clotrimazole | Dosages: [10 mg] | Form: cream | Route: vaginal | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,"['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Polynoxylin,polynoxylin,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: polynoxylin | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Doxycycline,doxycycline,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: doxycycline | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Sodium Perborate,sodium perborate,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: sodium perborate | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Hexetidine,hexetidine,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: hexetidine | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Hydrogen Peroxide,hydrogen peroxide,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: hydrogen peroxide | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Metronidazole,metronidazole,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,"['100 ml', '250 mg', '375 mg', '5 mg/ml', '500 mg']",oral,cream,"Drug: metronidazole | Dosages: [100 ml, 250 mg, 375 mg, 5 mg/ml, 500 mg] | Form: cream | Route: oral | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS","['rxnorm_complete_drug_classification.csv', 'drug_class_subclass_reference.xlsx']"
Miconazole,miconazole,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: miconazole | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
Minocycline,minocycline,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment,STOMATOLOGICAL PREPARATIONS,[],,,Drug: minocycline | Dosages: [] | Form:  | Route:  | Class: STOMATOLOGICAL PREPARATIONS | Subclass: Antiinfectives and antiseptics for local oral treatment | Therapeutic: STOMATOLOGICAL PREPARATIONS,['rxnorm_complete_drug_classification.csv']
